,Description,Assignment group,nndes,mldes
0,verifi user detail employe manag name check user name reset password advis user login check caller confirm abl login issu resolv spxjnwir pjlcoqds,GRP_0,verifi user detail employe manag name check user name reset password advis user login check caller confirm abl login issu resolv spxjnwir pjlcoqds,verifi user detail employe manag name check user name reset password advis user login check caller confirm abl login issu resolv spxjnwir pjlcoqds
1,receiv hello team meet skype meet etc appear outlook calendar somebodi plea advis correct kind hmjdrvpb komuaywn,GRP_0,receiv hello team meet skype meet etc appear outlook calendar somebodi plea advis correct kind hmjdrvpb komuaywn,receiv hello team meet skype meet etc appear outlook calendar somebodi plea advis correct kind hmjdrvpb komuaywn
2,receiv cannot log vpn best eylqgodm ybqkwiam,GRP_0,receiv cannot log vpn best eylqgodm ybqkwiam,receiv cannot log vpn best eylqgodm ybqkwiam
3,unabl access tool page xbkucsvz gcpydteq,GRP_0,unabl access tool page xbkucsvz gcpydteq,unabl access tool page xbkucsvz gcpydteq
4,skype error owlgqjme qhcozdfx,GRP_0,skype error owlgqjme qhcozdfx,skype error owlgqjme qhcozdfx
5,unabl log engin tool skype eflahbxn ltdgrvkz,GRP_0,unabl log engin tool skype eflahbxn ltdgrvkz,unabl log engin tool skype eflahbxn ltdgrvkz
6,event critic hostnam compani com valu mountpoint threshold oracl sid erpdata psa psa data perpsr psa jyoqwxhz clhxsoqy,GRP_1,event critic hostnam compani com valu mountpoint threshold oracl sid erpdata psa psa data perpsr psa jyoqwxhz clhxsoqy,event critic hostnam compani com valu mountpoint threshold oracl sid erpdata psa psa data perpsr psa jyoqwxhz clhxsoqy
7,ticket employ statu new non employe enter user name eqzibjhw ymebpoih,GRP_0,ticket employ statu new non employe enter user name eqzibjhw ymebpoih,ticket employ statu new non employe enter user name eqzibjhw ymebpoih
8,unabl disabl add in outlook mdbegvct dbvichlg,GRP_0,unabl disabl add in outlook mdbegvct dbvichlg,unabl disabl add in outlook mdbegvct dbvichlg
9,ticket updat inplant fumkcsji sarmtlhy,GRP_0,ticket updat inplant fumkcsji sarmtlhy,ticket updat inplant fumkcsji sarmtlhy
10,engin tool say connect unabl submit report badgknqs xwelumfz,GRP_0,engin tool say connect unabl submit report badgknqs xwelumfz,engin tool say connect unabl submit report badgknqs xwelumfz
11,tool site load page correctli dcqsolkx kmsijcuz,GRP_0,tool site load page correctli dcqsolkx kmsijcuz,tool site load page correctli dcqsolkx kmsijcuz
12,unabl login tool sgxqsuojr xwbesorf card oblekmrw qltgvspb,GRP_0,unabl login tool sgxqsuojr xwbesorf card oblekmrw qltgvspb,unabl login tool sgxqsuojr xwbesorf card oblekmrw qltgvspb
13,user want reset password iftldbmu fujslwby,GRP_0,user want reset password iftldbmu fujslwby,user want reset password iftldbmu fujslwby
14,unabl open payslip epwyvjsz najukwho,GRP_0,unabl open payslip epwyvjsz najukwho,unabl open payslip epwyvjsz najukwho
15,ticket updat inplant fumkcsji sarmtlhy,GRP_0,ticket updat inplant fumkcsji sarmtlhy,ticket updat inplant fumkcsji sarmtlhy
16,receiv unabl login compani vpn websit tri open new session use link abl get pl help urgent work home tomorrow due month end close chobktqj qdamxfuc,GRP_0,receiv unabl login compani vpn websit tri open new session use link abl get pl help urgent work home tomorrow due month end close chobktqj qdamxfuc,receiv unabl login compani vpn websit tri open new session use link abl get pl help urgent work home tomorrow due month end close chobktqj qdamxfuc
17,undock screen come back sigfdwcj reofwzlm,GRP_3,undock screen come back sigfdwcj reofwzlm,undock screen come back sigfdwcj reofwzlm
18,erp sid account lock nqdyowsm yqerwtna,GRP_0,erp sid account lock nqdyowsm yqerwtna,erp sid account lock nqdyowsm yqerwtna
19,unabl sign vpn ftsqkvre bqzrupic,GRP_0,unabl sign vpn ftsqkvre bqzrupic,unabl sign vpn ftsqkvre bqzrupic
20,unabl check payslip mrzgjdal whnldmef,GRP_0,unabl check payslip mrzgjdal whnldmef,unabl check payslip mrzgjdal whnldmef
21,vpn issu receiv hello helpdesk abl connect vpn home offic coupl hour ago connect work anymor get messag session expir click link noth happen cid imag jpg need help dynam crm click chat live agent regard dynam crm question click best ugephfta hrbqkvij,GRP_0,vpn issu receiv hello helpdesk abl connect vpn home offic coupl hour ago connect work anymor get messag session expir click link noth happen cid imag jpg need help dynam crm click chat live agent regard dynam crm question click best ugephfta hrbqkvij,vpn issu receiv hello helpdesk abl connect vpn home offic coupl hour ago connect work anymor get messag session expir click link noth happen cid imag jpg need help dynam crm click chat live agent regard dynam crm question click best ugephfta hrbqkvij
22,unabl connect vpn pfmcnahv ofzlusri,GRP_0,unabl connect vpn pfmcnahv ofzlusri,unabl connect vpn pfmcnahv ofzlusri
23,user call vendor phone number fumkcsji sarmtlhy,GRP_0,user call vendor phone number fumkcsji sarmtlhy,user call vendor phone number fumkcsji sarmtlhy
24,vpn work receiv hello abl connect compani network vpn pl check sir abl upload result compani network dceoufyz saufqkmd,GRP_0,vpn work receiv hello abl connect compani network vpn pl check sir abl upload result compani network dceoufyz saufqkmd,vpn work receiv hello abl connect compani network vpn pl check sir abl upload result compani network dceoufyz saufqkmd
25,erp sid password reset jqhtkfsm xoehtbnl,GRP_0,erp sid password reset jqhtkfsm xoehtbnl,erp sid password reset jqhtkfsm xoehtbnl
26,unabl login tool check payslip dtisfuyp fpvrjlkz,GRP_0,unabl login tool check payslip dtisfuyp fpvrjlkz,unabl login tool check payslip dtisfuyp fpvrjlkz
27,account lock lduqxywt wcydjgvl,GRP_0,account lock lduqxywt wcydjgvl,account lock lduqxywt wcydjgvl
28,unabl login tool mwebfhdz csndrxgi,GRP_0,unabl login tool mwebfhdz csndrxgi,unabl login tool mwebfhdz csndrxgi
29,unabl log erp sid hvskpglx bpsfxmon,GRP_0,unabl log erp sid hvskpglx bpsfxmon,unabl log erp sid hvskpglx bpsfxmon
30,password reset collabor platform wrlzneit ayqutwgh,GRP_0,password reset collabor platform wrlzneit ayqutwgh,password reset collabor platform wrlzneit ayqutwgh
31,plea reset user password client usernam xyz qcehailo wqynckxg,GRP_0,plea reset user password client usernam xyz qcehailo wqynckxg,plea reset user password client usernam xyz qcehailo wqynckxg
32,duplic network address receiv gentl two devic tri share address tri share one printer hostnam prtjc new display erp display use dhcp get address assign printer hard code guess address get set static address dhcp need correct display pick anoth address kxsceyzo naokumlb,GRP_4,duplic network address receiv gentl two devic tri share address tri share one printer hostnam prtjc new display erp display use dhcp get address assign printer hard code guess address get set static address dhcp need correct display pick anoth address kxsceyzo naokumlb,duplic network address receiv gentl two devic tri share address tri share one printer hostnam prtjc new display erp display use dhcp get address assign printer hard code guess address get set static address dhcp need correct display pick anoth address kxsceyzo naokumlb
33,es password reset fsqwkbez eudsantq,GRP_0,es password reset fsqwkbez eudsantq,es password reset fsqwkbez eudsantq
34,unabl instal flash player xzbhmfpg bhqxesym,GRP_0,unabl instal flash player xzbhmfpg bhqxesym,unabl instal flash player xzbhmfpg bhqxesym
35,ticket employ statu new non employe eqzibjhw ymebpoih,GRP_0,ticket employ statu new non employe eqzibjhw ymebpoih,ticket employ statu new non employe eqzibjhw ymebpoih
36,erp sid account unlock password reset ztlvkmyi xldyitwz,GRP_0,erp sid account unlock password reset ztlvkmyi xldyitwz,erp sid account unlock password reset ztlvkmyi xldyitwz
37,unabl resolv ticket assign self statu button dierppear second shloyakw jztsxdln,GRP_0,unabl resolv ticket assign self statu button dierppear second shloyakw jztsxdln,unabl resolv ticket assign self statu button dierppear second shloyakw jztsxdln
38,need instal engin tool qcxivzag vyucbagx,GRP_0,need instal engin tool qcxivzag vyucbagx,need instal engin tool qcxivzag vyucbagx
39,call ecwtrjnq jpecxuti olckhmvx pcqobjnd,GRP_0,call ecwtrjnq jpecxuti olckhmvx pcqobjnd,call ecwtrjnq jpecxuti olckhmvx pcqobjnd
40,ticket updat inplant olckhmvx pcqobjnd,GRP_0,ticket updat inplant olckhmvx pcqobjnd,ticket updat inplant olckhmvx pcqobjnd
41,tablet sound work eqxakzyi cwfrjitq,GRP_0,tablet sound work eqxakzyi cwfrjitq,tablet sound work eqxakzyi cwfrjitq
42,unabl login system zcaeryfo tdovhslb,GRP_0,unabl login system zcaeryfo tdovhslb,unabl login system zcaeryfo tdovhslb
43,plea rerout job printer printer issu need resolv today receiv printer printer work need part replac rerout job queue printer printer wihuyjdo qpogfwkb indic prqo need new part may deliv day inwarehous tool need print printer need taken care today sinc inwarehous tool print pick outsid vendor usa daili basi plea contact dkmcfreg anwmfvlgenkataramdntyana question job queue today yisohglr uvteflgb,GRP_5,plea rerout job printer printer issu need resolv today receiv printer printer work need part replac rerout job queue printer printer wihuyjdo qpogfwkb indic prqo need new part may deliv day inwarehous tool need print printer need taken care today sinc inwarehous tool print pick outsid vendor usa daili basi plea contact dkmcfreg anwmfvlgenkataramdntyana question job queue today yisohglr uvteflgb,plea rerout job printer printer issu need resolv today receiv printer printer work need part replac rerout job queue printer printer wihuyjdo qpogfwkb indic prqo need new part may deliv day inwarehous tool need print printer need taken care today sinc inwarehous tool print pick outsid vendor usa daili basi plea contact dkmcfreg anwmfvlgenkataramdntyana question job queue today yisohglr uvteflgb
44,unabl login tool etim wxdrynag hlktazfm,GRP_0,unabl login tool etim wxdrynag hlktazfm,unabl login tool etim wxdrynag hlktazfm
45,log tool etim singl sign portal wpdxlbhz etvzjmhx,GRP_0,log tool etim singl sign portal wpdxlbhz etvzjmhx,log tool etim singl sign portal wpdxlbhz etvzjmhx
46,password chang password manag tool updat erp account lduqxywt wcydjgvl,GRP_0,password chang password manag tool updat erp account lduqxywt wcydjgvl,password chang password manag tool updat erp account lduqxywt wcydjgvl
47,receiv job job fail job schedul bpctwhsn kzqsbmtp,GRP_6,receiv job job fail job schedul bpctwhsn kzqsbmtp,receiv job job fail job schedul bpctwhsn kzqsbmtp
48,window password chang via password manag tool boyqfsca yoqrmnep,GRP_0,window password chang via password manag tool boyqfsca yoqrmnep,window password chang via password manag tool boyqfsca yoqrmnep
49,statu chang telephoni softwar close call agent keep acd call statu aofnvyzt eqiyskhm,GRP_7,statu chang telephoni softwar close call agent keep acd call statu aofnvyzt eqiyskhm,statu chang telephoni softwar close call agent keep acd call statu aofnvyzt eqiyskhm
50,receiv job zscr dli merktc fail job schedul bpctwhsn kzqsbmtp,GRP_8,receiv job zscr dli merktc fail job schedul bpctwhsn kzqsbmtp,receiv job zscr dli merktc fail job schedul bpctwhsn kzqsbmtp
